siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,totalN,Cl,SO4,Br,hplus,svol,ppt,fullChemLab,daysSample,startDate,lastDate
AB32,Annual,2016,23,30,67,0.566,0.046,0.016,0.022,0.118,0.518,0.208,0.037,0.381,-9,0.002,3538.9,7.493,9,371,"2016-09-13 00:00","2017-01-03 00:00"
AB32,Annual,2017,75,93,87,3.871,0.314,0.116,0.284,0.468,2.231,0.868,0.372,2.781,-9,0.005,13588.5,34.169,22,365,"2017-01-03 00:00","2018-01-03 00:00"
AB32,Annual,2018,79,100,82,1.980,0.195,0.094,0.130,0.278,1.507,0.557,0.199,1.308,-9,0.014,19803.0,36.130,27,364,"2018-01-03 00:00","2019-01-02 00:00"
AB32,Annual,2019,85,99,92,2.252,0.251,0.092,0.177,0.908,1.898,1.134,0.181,2.308,-9,0.010,23114.0,36.923,38,363,"2019-01-02 00:00","2020-01-02 00:00"
AB34,Annual,2019,42,70,61,0.467,0.085,0.097,0.052,0.902,2.154,1.187,0.141,1.852,-9,0.031,16763.5,40.266,19,364,"2019-04-24 00:00","2020-01-02 00:00"
AB36,Annual,2019,4,9,70,0.036,0.004,0.001,0.005,0.005,0.068,0.019,0.009,0.034,-9,0.000,409.8,0.860,2,364,"2019-12-02 00:00","2020-01-02 00:00"
AG01,Annual,2011,19,19,100,0.178,0.024,0.070,0.170,0.548,0.745,0.594,0.314,0.547,-9,0.001,3552.0,9.022,4,362,"2011-10-24 00:00","2012-01-01 00:00"
AG01,Annual,2012,78,82,82,1.041,0.183,0.588,1.192,5.094,5.150,5.121,2.281,4.220,-9,0.008,39419.0,79.468,22,366,"2012-01-01 00:00","2013-01-01 00:00"
AG01,Annual,2013,73,96,82,0.930,0.153,0.830,1.719,6.128,4.639,5.809,2.731,4.633,-9,0.003,31658.0,58.866,17,364,"2013-01-01 00:00","2013-12-31 00:00"
AG01,Annual,2014,69,98,63,1.024,0.194,0.666,1.175,5.386,4.211,5.136,1.987,3.744,-9,0.005,24521.0,60.584,13,364,"2013-12-31 00:00","2014-12-30 00:00"
AG01,Annual,2015,67,94,62,0.820,0.210,0.658,1.211,4.311,3.978,4.249,2.337,3.987,-9,0.014,37659.0,95.387,14,364,"2014-12-30 00:00","2015-12-29 00:00"
AG01,Annual,2016,87,100,88,0.994,0.202,0.757,0.889,5.279,3.968,4.999,1.980,4.320,-9,0.011,53548.0,87.990,22,371,"2015-12-29 00:00","2017-01-03 00:00"
AG01,Annual,2017,86,99,85,0.812,0.167,0.736,0.937,4.789,3.922,4.607,1.666,3.547,-9,0.010,40303.0,69.413,17,360,"2017-01-03 00:00","2017-12-26 00:00"
AK01,Annual,1993,85,100,87,0.138,0.032,0.032,0.244,0.083,0.849,0.256,0.410,1.250,-9,0.024,15635.6,46.116,35,371,"1992-12-29 00:00","1994-01-04 00:00"
AK01,Annual,1994,92,100,93,0.087,0.012,0.045,0.124,0.091,0.589,0.203,0.185,0.849,-9,0.028,23206.8,41.194,38,364,"1994-01-04 00:00","1995-01-03 00:00"
AK01,Annual,1995,83,100,97,0.062,0.016,0.029,0.127,0.088,0.390,0.156,0.166,0.477,-9,0.018,21176.2,32.469,32,364,"1995-01-03 00:00","1996-01-02 00:00"
AK01,Annual,1996,81,100,83,0.058,0.014,0.037,0.122,0.064,0.471,0.156,0.206,0.443,-9,0.021,18665.5,33.852,27,364,"1996-01-02 00:00","1996-12-31 00:00"
AK01,Annual,1997,68,100,82,0.064,0.014,0.043,0.091,0.034,0.421,0.121,0.159,0.536,-9,0.018,12274.6,22.730,25,364,"1996-12-31 00:00","1997-12-30 00:00"
AK01,Annual,1998,68,96,81,0.232,0.036,0.133,0.152,0.242,0.544,0.311,0.268,0.696,-9,0.017,17792.5,33.142,23,364,"1997-12-30 00:00","1998-12-29 00:00"
AK01,Annual,1999,70,100,90,0.093,0.009,0.023,0.018,0.134,0.432,0.202,0.064,0.365,-9,0.013,15072.9,29.179,23,364,"1998-12-29 00:00","1999-12-28 00:00"
AK01,Annual,2000,81,100,79,0.085,0.012,0.040,0.032,0.053,0.542,0.163,0.113,0.554,-9,0.025,21145.0,40.424,30,372,"1999-12-28 00:00","2001-01-03 00:00"
AK01,Annual,2001,94,100,97,0.080,0.010,0.024,0.024,0.090,0.492,0.181,0.118,0.672,-9,0.024,21449.0,34.657,31,363,"2001-01-03 00:00","2002-01-01 00:00"
AK01,Annual,2002,91,100,93,0.125,0.018,0.081,0.044,0.313,0.633,0.386,0.125,0.872,-9,0.019,22243.9,36.805,32,364,"2002-01-01 00:00","2002-12-31 00:00"
AK01,Annual,2003,83,100,82,0.098,0.015,0.029,0.068,0.171,0.658,0.281,0.156,0.780,-9,0.027,24700.7,48.752,29,364,"2002-12-31 00:00","2003-12-30 00:00"
AK01,Annual,2004,84,100,80,0.083,0.013,0.147,0.049,0.111,0.369,0.170,0.129,0.434,-9,0.010,12021.5,25.804,28,364,"2003-12-30 00:00","2004-12-28 00:00"
AK01,Annual,2005,69,100,84,0.125,0.016,0.061,0.071,0.212,0.681,0.319,0.145,0.572,-9,0.020,17051.9,32.130,27,371,"2004-12-28 00:00","2006-01-03 00:00"
AK01,Annual,2006,82,98,86,0.102,0.012,0.030,0.036,0.030,0.376,0.108,0.090,0.641,-9,0.020,16682.1,30.078,31,364,"2006-01-03 00:00","2007-01-02 00:00"
AK01,Annual,2007,88,100,94,0.116,0.015,0.032,0.035,0.055,0.480,0.151,0.096,0.670,-9,0.024,18404.6,29.110,32,365,"2007-01-02 00:00","2008-01-02 00:00"
