network,siteid,siteName,county,state,latitude,longitude,elevation,status,startdate,stopdate
NTN,AB32,Fort Mackay,,AB,57.2096,-111.6471,265,A,2016-09-13 05:00,
NTN,AB34,Stony Mountain,,AB,55.6214,-111.1727,673,A,2019-04-24 05:00,
NTN,AG01,Laurenti-MAR,,AG,-30.9501,-62.8244,83,I,2011-10-24 05:00,2018-01-08 06:00
NTN,AK01,Poker Creek,Fairbanks North Star,AK,65.1550,-147.4910,230,A,1992-12-29 06:00,
NTN,AK02,Juneau,Juneau,AK,58.5139,-134.7843,25,A,2004-06-22 05:00,
NTN,AK03,Denali National Park-Mt. McKinley,Denali,AK,63.7232,-148.9676,661,A,1980-06-17 05:00,
NTN,AK06,Gates of the Arctic National Park - Bettles,Yukon-Koyukuk,AK,66.9060,-151.6830,630,I,2008-11-04 06:00,2015-10-27 05:00
NTN,AK96,Toolik Field Station,North Slope Borough,AK,68.6257,-149.6069,730,A,2017-10-12 05:00,
NTN,AK97,Katmai National Park - King Salmon,Bristol Bay,AK,58.6794,-156.6664,50,A,2009-11-02 06:00,
NTN,AK99,Ambler,Northwest Arctic,AK,67.0931,-157.8689,88,I,2004-05-12 05:00,2005-08-09 05:00
NTN,AL02,Delta Elementary,Baldwin,AL,30.7907,-87.8498,66,I,2001-06-05 05:00,2010-01-05 06:00
NTN,AL03,Centreville,Bibb,AL,32.9034,-87.2499,135,I,2011-02-22 06:00,2016-12-13 06:00
NTN,AL10,Black Belt Research & Extension Center,Dallas,AL,32.4583,-87.2422,58,A,1983-08-31 05:00,
NTN,AL19,Birmingham,Jefferson,AL,33.5530,-86.8148,200,I,2012-12-19 06:00,2016-10-18 05:00
NTN,AL24,Bay Road,Mobile,AL,30.4746,-88.1411,6,I,2001-05-29 05:00,2010-01-05 06:00
NTN,AL99,Sand Mountain Research & Extension Center,DeKalb,AL,34.2886,-85.9699,349,A,1984-10-02 05:00,
NTN,AR02,Warren 2WSW,Bradley,AR,33.6050,-92.0972,76,A,1982-05-25 05:00,
NTN,AR03,Caddo Valley,Clark,AR,34.1795,-93.0992,71,A,1983-12-30 06:00,
NTN,AR16,Buffalo National River-Buffalo Point,Marion,AR,36.0842,-92.5868,311,A,1982-07-13 05:00,
NTN,AR27,Fayetteville,Washington,AR,36.1011,-94.1737,381,A,1980-05-13 05:00,
NTN,AS01,Samoa,,AS,-14.2525,-170.5633,82,I,1980-05-20 05:00,1992-10-13 05:00
NTN,AZ01,Tombstone,Cochise,AZ,31.7089,-110.0572,1398,I,1979-03-27 06:00,1981-09-01 05:00
NTN,AZ03,Grand Canyon National Park-Hopi Point,Coconino,AZ,36.0586,-112.1840,2071,A,1981-08-11 05:00,
NTN,AZ06,Organ Pipe Cactus National Monument,Pima,AZ,31.9492,-112.8020,501,A,1980-04-15 05:00,
NTN,AZ97,Petrified Forest National Park-Rainbow Forest,Apache,AZ,34.8224,-109.8925,1707,A,2002-12-03 06:00,
NTN,AZ98,Chiricahua,Cochise,AZ,32.0097,-109.3889,1570,A,1999-02-23 06:00,
NTN,AZ99,Oliver Knoll,Graham,AZ,33.0708,-109.8660,1176,A,1981-08-25 05:00,
NTN,BC22,Haul Road Station,,BC,54.0294,-128.7019,10,A,2012-09-19 05:00,
NTN,BC23,Lakelse Lake,,BC,54.3772,-128.5775,111,A,2013-03-20 05:00,
NTN,BC24,Port Edward,,BC,54.2226,-130.2696,80,A,2014-01-15 06:00,
NTN,CA28,Kings River Experimental Watershed,Fresno,CA,37.0592,-119.1822,2000,A,2007-04-24 05:00,
NTN,CA34,Bishop,Inyo,CA,37.3708,-118.3664,1252,I,1980-04-15 05:00,1982-06-22 05:00
NTN,CA42,Tanbark Flat,Los Angeles,CA,34.2071,-117.7618,853,A,1982-01-12 06:00,
NTN,CA45,Hopland,Mendocino,CA,39.0045,-123.0860,253,A,1979-10-03 05:00,
NTN,CA50,Sagehen Creek,Nevada,CA,39.4315,-120.2397,1931,A,2001-11-06 06:00,
NTN,CA66,Pinnacles National Monument-Bear Valley,San Benito,CA,36.4834,-121.1570,317,A,1999-11-02 06:00,
NTN,CA67,Joshua Tree National Park-Black Rock,San Bernardino,CA,34.0695,-116.3889,1239,A,2000-09-19 05:00,
NTN,CA68,Palomar Mountain,San Diego,CA,33.3089,-116.8539,1695,I,1983-03-15 06:00,1988-01-12 06:00
NTN,CA75,Sequoia National Park-Giant Forest,Tulare,CA,36.5661,-118.7780,1921,A,1980-07-08 05:00,
NTN,CA76,Montague,Siskiyou,CA,41.7662,-122.4798,799,A,1985-06-25 05:00,
NTN,CA85,Channel Islands National Park,Ventura,CA,34.0158,-119.3619,49,I,1980-07-22 05:00,1982-02-19 06:00
NTN,CA88,Davis,Yolo,CA,38.5357,-121.7762,18,A,1978-09-04 05:00,
NTN,CA94,Converse Flats,San Bernardino,CA,34.1938,-116.9131,1724,A,2006-05-09 05:00,
NTN,CA95,Death Valley National Park-Cow Creek,Inyo,CA,36.5890,-116.9780,125,I,2000-02-08 06:00,2005-05-31 05:00
NTN,CA96,Lassen Volcanic National Park-Manzanita Lake,Shasta,CA,40.5390,-121.5772,1754,A,2000-06-13 05:00,
NTN,CA98,Chuchupate Ranger Station,Ventura,CA,34.8061,-119.0114,1614,I,1983-08-02 05:00,1996-01-23 06:00
NTN,CA99,Yosemite National Park-Hodgdon Meadow,Tuolumne,CA,37.7961,-119.8581,1393,A,1981-12-08 06:00,
NTN,CAN1,Lethbridge,Lethbridge,CN,49.6369,-112.7878,913,I,1981-04-28 05:00,1984-04-03 05:00
NTN,CAN2,Mount Forest,Wellington,CN,43.9914,-80.7461,410,I,1981-05-05 05:00,1984-03-20 06:00
NTN,CAN3,Kejimkujik National Park,Queens,CN,44.4328,-65.2056,152,I,1981-05-12 05:00,1984-04-03 05:00
NTN,CAN4,Sutton,Brome,QB,45.0761,-72.6756,244,I,1986-09-16 05:00,2001-10-02 05:00
